Date : 2026-04-13 19:56:05
Directory : c:\Users\gonca\Desktop\Gofish-Web
Total : 659 files,  49473 codes, 4942 comments, 8271 blanks, all 62686 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\gonca\Desktop\Gofish-Web\angular\.VSCodeCounter\2026-04-13_19-55-33\results.json                                                                                      | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\.VSCodeCounter\2026-04-13_19-55-33\results.md                                                                                        | Markdown           |        201 |          0 |          7 |        208 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\README.md                                                                                                                            | Markdown           |         36 |          0 |         24 |         60 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\angular.json                                                                                                                         | JSON               |        170 |          0 |          1 |        171 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\__init__.py                                                                                                                      | Python             |          0 |          0 |          1 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\conftest.py                                                                                                                      | Python             |         50 |          1 |         21 |         72 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\pages\__init__.py                                                                                                                | Python             |          0 |          0 |          1 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\pages\forum_page.py                                                                                                              | Python             |         68 |          0 |         21 |         89 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\pages\map_page.py                                                                                                                | Python             |        223 |          1 |         54 |        278 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\pages\signin_page.py                                                                                                             | Python             |         31 |          0 |         10 |         41 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\__init__.py                                                                                                                | Python             |          0 |          0 |          1 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_catch_pin.py                                                                                                          | Python             |         39 |          0 |         20 |         59 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_forum_comment.py                                                                                                      | Python             |         21 |          0 |         11 |         32 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_forum_delete.py                                                                                                       | Python             |         18 |          0 |         12 |         30 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_forum_report.py                                                                                                       | Python             |         30 |          0 |         13 |         43 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_forum_vote.py                                                                                                         | Python             |         34 |          0 |         17 |         51 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_login.py                                                                                                              | Python             |          9 |          0 |          3 |         12 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\e2e\tests\test_signin.py                                                                                                             | Python             |         10 |          0 |          7 |         17 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\package-lock.json                                                                                                                    | JSON               |      9,362 |          0 |          1 |      9,363 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\package.json                                                                                                                         | JSON               |         47 |          0 |          1 |         48 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\bait\0.svg                                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\bait\1.svg                                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\bait\2.svg                                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\bait\3.svg                                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\bait\4.svg                                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\bait\5.svg                                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\bait\6.svg                                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\bait\7.svg                                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\bait\8.svg                                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\0.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\1.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\10.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\11.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\12.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\13.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\14.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\15.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\16.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\17.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\18.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\19.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\2.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\20.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\21.svg                                                                         | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\3.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\4.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\5.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\6.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\7.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\8.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\images\enum-images\catch-images\species\9.svg                                                                          | XML                |          3 |          0 |          0 |          3 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\at-sign.svg                                                                                                    | XML                |         50 |          0 |          1 |         51 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\avatar-template-dark.clr.svg                                                                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\check.dyn.svg                                                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\check.svg                                                                                                      | XML                |         44 |          0 |          1 |         45 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\chevrons-down-up-black.svg                                                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\chevrons-down-up-white.svg                                                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\circle-check.dyn.svg                                                                                           | XML                |          4 |          0 |          1 |          5 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\circle-dot.svg                                                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\circle-question-mark-filled.dyn.svg                                                                            | XML                |         10 |          0 |          1 |         11 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\circle-user.svg                                                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\circle-x.dyn.svg                                                                                               | XML                |          5 |          0 |          1 |          6 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\circle.svg                                                                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\clear.svg                                                                                                      | XML                |         60 |          0 |          1 |         61 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\close.svg                                                                                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\facebook.svg                                                                                                   | XML                |         44 |          0 |          1 |         45 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\fish.svg                                                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\google.clr.svg                                                                                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\guitar.svg                                                                                                     | XML                |         56 |          0 |          1 |         57 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\hook.svg                                                                                                       | XML                |         54 |          0 |          1 |         55 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\info.svg                                                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\instagram.svg                                                                                                  | XML                |         60 |          0 |          1 |         61 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\loader.dyn.svg                                                                                                 | XML                |         10 |          0 |          1 |         11 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\locate-fixed.svg                                                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\locate-off.svg                                                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\locate.svg                                                                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\lock-filled.dyn.svg                                                                                            | XML                |          4 |          0 |          1 |          5 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\log-out.svg                                                                                                    | XML                |          1 |          0 |          1 |          2 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\map-pin-plus.svg                                                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\map.svg                                                                                                        | XML                |         52 |          0 |          1 |         53 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\microsoft.clr.svg                                                                                              | XML                |          6 |          0 |          1 |          7 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\minus.svg                                                                                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\plus.svg                                                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\rank-1.clr.svg                                                                                                 | XML                |         22 |          0 |          1 |         23 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\rank-2.clr.svg                                                                                                 | XML                |         10 |          0 |          1 |         11 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\rank-3.clr.svg                                                                                                 | XML                |         25 |          0 |          1 |         26 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\rank-4.clr.svg                                                                                                 | XML                |         16 |          0 |          1 |         17 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\rank-5.clr.svg                                                                                                 | XML                |         37 |          0 |          1 |         38 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\scale-filled.dyn.svg                                                                                           | XML                |          7 |          0 |          1 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\search.svg                                                                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\settings.svg                                                                                                   | XML                |          1 |          0 |          1 |          2 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\shield-user.svg                                                                                                | XML                |         54 |          0 |          1 |         55 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\shield.svg                                                                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\star-half.svg                                                                                                  | XML                |         44 |          0 |          1 |         45 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\star.svg                                                                                                       | XML                |         44 |          0 |          1 |         45 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\twitter.svg                                                                                                    | XML                |         44 |          0 |          1 |         45 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\user.svg                                                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\warn.svg                                                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\x.svg                                                                                                          | XML                |         48 |          0 |          1 |         49 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\public\assets\vectors\youtube.svg                                                                                                    | XML                |         48 |          0 |          1 |         49 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\app.component.css                                                                                                            | PostCSS            |          5 |          1 |          2 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\app.component.html                                                                                                           | HTML               |          4 |          1 |          2 |          7 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\app.component.ts                                                                                                             | TypeScript         |         31 |          1 |          6 |         38 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\app.config.ts                                                                                                                | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\app.routes.ts                                                                                                                | TypeScript         |        252 |         13 |         11 |        276 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\about\about.component.css                                                                                           | PostCSS            |         27 |          0 |          7 |         34 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\about\about.component.html                                                                                          | HTML               |         95 |          5 |         22 |        122 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\about\about.component.ts                                                                                            | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\footer\footer.component.css                                                                                         | PostCSS            |        201 |         21 |         46 |        268 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\footer\footer.component.html                                                                                        | HTML               |         84 |          8 |          9 |        101 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\footer\footer.component.ts                                                                                          | TypeScript         |         24 |          1 |          5 |         30 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\components\forum-post\forum-post.component.css                                                                | PostCSS            |        161 |          4 |         44 |        209 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\components\forum-post\forum-post.component.html                                                               | HTML               |         76 |         13 |         25 |        114 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\components\forum-post\forum-post.component.ts                                                                 | TypeScript         |        113 |         74 |         20 |        207 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\discover\discover.component.css                                                                      | PostCSS            |         24 |          0 |          7 |         31 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\discover\discover.component.html                                                                     | HTML               |         20 |          0 |          2 |         22 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\discover\discover.component.ts                                                                       | TypeScript         |         69 |         47 |         11 |        127 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\from-friends\from-friends.component.css                                                              | PostCSS            |         24 |          0 |          7 |         31 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\from-friends\from-friends.component.html                                                             | HTML               |         20 |          0 |          2 |         22 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\from-friends\from-friends.component.ts                                                               | TypeScript         |         68 |         37 |         16 |        121 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\children\group-posts-placeholder\group-posts-placeholder.component.css                        | PostCSS            |         24 |          0 |          7 |         31 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\children\group-posts-placeholder\group-posts-placeholder.component.html                       | HTML               |         20 |          0 |          2 |         22 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\children\group-posts-placeholder\group-posts-placeholder.component.ts                         | TypeScript         |         63 |         38 |         18 |        119 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\children\members-group\members-group.component.css                                            | PostCSS            |          5 |          0 |          1 |          6 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\children\members-group\members-group.component.html                                           | HTML               |         12 |          3 |          4 |         19 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\children\members-group\members-group.component.ts                                             | TypeScript         |         40 |         18 |          7 |         65 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\components\group-member-settings-popover\group-member-settings-popover.component.css          | PostCSS            |         76 |          1 |         18 |         95 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\components\group-member-settings-popover\group-member-settings-popover.component.html         | HTML               |         53 |          0 |         20 |         73 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\components\group-member-settings-popover\group-member-settings-popover.component.ts           | TypeScript         |        122 |         55 |         25 |        202 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\components\group-popover\group-popover.component.css                                          | PostCSS            |         76 |          1 |         18 |         95 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\components\group-popover\group-popover.component.html                                         | HTML               |         33 |          0 |         14 |         47 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\components\group-popover\group-popover.component.ts                                           | TypeScript         |         70 |         36 |         14 |        120 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\components\user-card\user-card.component.css                                                  | PostCSS            |         17 |          0 |          4 |         21 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\components\user-card\user-card.component.html                                                 | HTML               |         28 |          0 |          7 |         35 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\components\user-card\user-card.component.ts                                                   | TypeScript         |         38 |         46 |         13 |         97 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\groups.component.css                                                                          | PostCSS            |        130 |          3 |         37 |        170 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\groups.component.html                                                                         | HTML               |         72 |         22 |         23 |        117 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\groups\groups.component.ts                                                                           | TypeScript         |         71 |         46 |         19 |        136 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\my-groups\my-groups.component.css                                                                    | PostCSS            |        161 |          5 |         50 |        216 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\my-groups\my-groups.component.html                                                                   | HTML               |         77 |          0 |         24 |        101 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\my-groups\my-groups.component.ts                                                                     | TypeScript         |         30 |         14 |          6 |         50 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\post\post-comments\post-comments.component.css                                                       | PostCSS            |         57 |          0 |         12 |         69 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\post\post-comments\post-comments.component.html                                                      | HTML               |         47 |          1 |          6 |         54 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\post\post-comments\post-comments.component.ts                                                        | TypeScript         |         30 |         23 |          9 |         62 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\post\post-id-placeholder\post-id-placeholder.component.css                                           | PostCSS            |        213 |          6 |         60 |        279 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\post\post-id-placeholder\post-id-placeholder.component.html                                          | HTML               |         64 |          9 |         19 |         92 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\features\post\post-id-placeholder\post-id-placeholder.component.ts                                            | TypeScript         |        133 |         41 |         32 |        206 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\forum.component.css                                                                                           | PostCSS            |         33 |          0 |          8 |         41 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\forum.component.html                                                                                          | HTML               |         25 |          0 |          3 |         28 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\forum.component.ts                                                                                            | TypeScript         |         36 |         25 |          8 |         69 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\delete-comment\delete-comment.component.css                                                            | PostCSS            |         63 |          0 |         12 |         75 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\delete-comment\delete-comment.component.html                                                           | HTML               |         18 |          0 |          6 |         24 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\delete-comment\delete-comment.component.ts                                                             | TypeScript         |         39 |         19 |          9 |         67 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\delete-group\delete-group.component.css                                                                | PostCSS            |         63 |          0 |         12 |         75 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\delete-group\delete-group.component.html                                                               | HTML               |         18 |          0 |          6 |         24 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\delete-group\delete-group.component.ts                                                                 | TypeScript         |         39 |         19 |          9 |         67 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\delete-post\delete-post.component.css                                                                  | PostCSS            |         63 |          0 |         12 |         75 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\delete-post\delete-post.component.html                                                                 | HTML               |         18 |          0 |          6 |         24 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\delete-post\delete-post.component.ts                                                                   | TypeScript         |         40 |         19 |          9 |         68 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\exit-group\exit-group.component.css                                                                    | PostCSS            |         63 |          0 |         12 |         75 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\exit-group\exit-group.component.html                                                                   | HTML               |         18 |          0 |          6 |         24 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\exit-group\exit-group.component.ts                                                                     | TypeScript         |         41 |         19 |          9 |         69 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\group-create\group-create.component.css                                                                | PostCSS            |        266 |          3 |         61 |        330 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\group-create\group-create.component.html                                                               | HTML               |         98 |          5 |          7 |        110 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\group-create\group-create.component.ts                                                                 | TypeScript         |         85 |         29 |         19 |        133 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\group-invite\group-invite.component.css                                                                | PostCSS            |         75 |          0 |         12 |         87 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\group-invite\group-invite.component.html                                                               | HTML               |         75 |          0 |         10 |         85 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\forum\modals\group-invite\group-invite.component.ts                                                                 | TypeScript         |        100 |          0 |         13 |        113 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\admin-popover\admin-popover.component.css                                                         | PostCSS            |        108 |          1 |         16 |        125 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\admin-popover\admin-popover.component.html                                                        | HTML               |         14 |          1 |          2 |         17 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\admin-popover\admin-popover.component.ts                                                          | TypeScript         |         40 |         16 |          9 |         65 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\header-actions\header-actions.component.css                                                       | PostCSS            |         37 |          1 |          7 |         45 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\header-actions\header-actions.component.html                                                      | HTML               |         44 |          6 |          2 |         52 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\header-actions\header-actions.component.ts                                                        | TypeScript         |         46 |         43 |         15 |        104 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\nav-popover\nav-popover.component.css                                                             | PostCSS            |         51 |          4 |          7 |         62 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\nav-popover\nav-popover.component.html                                                            | HTML               |         51 |          1 |          2 |         54 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\nav-popover\nav-popover.component.ts                                                              | TypeScript         |         38 |         16 |          9 |         63 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\user-popover\user-popover.component.css                                                           | PostCSS            |        108 |          1 |         16 |        125 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\header\components\user-popover\user-popover.component.html                                                          | HTML               |         39 |          1 |          6 |         46 |
